Ticket ID,Ticket name,Ticket status,Create date,Ticket owner,Source,Category,Company ID,Amount,Customer Type,Duration being a customer (years),Status
1931,BVH,Closed,10/06/2020,Bill,Email,,942625758,5005,Two,4,Customer
1932,BVI,Closed,10/06/2020,Bill,Email,,942625758,5005,Two,4,Customer
1933,BVJ,Closed,10/06/2020,Bill,Email,,942625758,5005,Two,4,Customer
1934,BVK,Closed,10/06/2020,Bill,Email,,942625758,5005,Two,4,Customer
1935,BVL,Closed,10/06/2020,Bill,Email,,942625758,5005,Two,4,Customer
1936,BVM,Closed,10/06/2020,Bill,Email,,942625758,5005,Two,4,Customer
1937,BVN,Closed,10/06/2020,Bill,Email,,942625758,5005,Two,4,Customer
1938,BVO,Closed,10/06/2020,Bill,Email,,942625758,5005,Two,4,Customer
1939,BVP,Closed,03/06/2020,Bill,Email,,942625758,5005,Two,4,Customer
713,AAL,Closed,05/11/2020,Rob,Email,Page Adding,918925987,5187,Three,3,Customer
714,AAM,Closed,04/06/2020,Bill,Email,,918925987,5187,Three,3,Customer
715,AAN,Closed,02/06/2020,Bill,Email,,918925987,5187,Three,3,Customer
707,AAF,Closed,12/05/2020,Bill,Email,,918925923,5848,Two,3,Customer
642,XS,Closed,28/05/2020,Bill,Email,,918925784,6215,Two,0,Prospect
643,XT,Closed,13/05/2020,Bill,Email,,918925784,6215,Two,0,Prospect
447,QF,Closed,28/05/2020,Bill,Email,,2358292836,4656,Two,3,Customer
448,QG,Closed,28/04/2020,Bill,Email,,2358292836,4656,Two,3,Customer
3577,EGP,Closed,03/12/2020,James,Email,General,2358292836,4656,Two,3,Customer
3578,EGQ,Closed,02/12/2020,Rob,Web,General,2358292836,4656,Two,3,Customer
3579,EGR,Closed,26/11/2020,Rob,Web,General,2358292836,4656,Two,3,Customer
3580,EGS,Closed,23/10/2020,Rob,Web,General,2358292836,4656,Two,3,Customer
3581,EGT,Closed,19/10/2020,Rob,Web,Information Request,2358292836,4656,Two,3,Customer
3582,EGU,Closed,19/10/2020,Rob,Email,Information Request,2358292836,4656,Two,3,Customer
3583,EGV,Closed,22/09/2020,Rob,Web,Information Request,2358292836,4656,Two,3,Customer
3584,EGW,Closed,05/08/2020,Rob,Web,General,2358292836,4656,Two,3,Customer
3585,EGX,Closed,15/06/2020,Bill,Email,,2358292836,4656,Two,3,Customer
3586,EGY,Closed,09/06/2020,Bill,Email,,2358292836,4656,Two,3,Customer
406,OQ,Closed,04/06/2020,Bill,Email,,1200966565,7565,Three,2,Customer
407,OR,Closed,01/06/2020,Bill,Email,,1200966565,7565,Three,2,Customer
408,OS,Closed,01/06/2020,Bill,Email,,1200966565,7565,Three,2,Customer
409,OT,Closed,18/05/2020,Bill,Email,,1200966565,7565,Three,2,Customer
410,OU,Closed,12/05/2020,Bill,Email,,1200966565,7565,Three,2,Customer
411,OV,Closed,11/05/2020,Bill,Email,,1200966565,7565,Three,2,Customer
3320,DWS,Closed,13/01/2021,Rob,Web,Page Adding,1200966565,7565,Three,2,Customer
3321,DWT,Closed,12/01/2021,Tony,Web,Page Adding,1200966565,7565,Three,2,Customer
3322,DWU,Closed,06/01/2021,Tony,Web,Page Adding,1200966565,7565,Three,2,Customer
3323,DWV,Closed,31/12/2020,Tony,Web,Page Update,1200966565,7565,Three,2,Customer
3324,DWW,Closed,18/12/2020,Tony,Web,Page Adding,1200966565,7565,Three,2,Customer
3325,DWX,Closed,14/12/2020,Tony,Web,Page Adding,1200966565,7565,Three,2,Customer
3326,DWY,Closed,08/12/2020,Tony,Web,Page Adding,1200966565,7565,Three,2,Customer
3327,DWZ,Closed,08/12/2020,Rob,Web,Page Adding,1200966565,7565,Three,2,Customer
3328,DXA,Closed,04/12/2020,James,Web,,1200966565,7565,Three,2,Customer
3329,DXB,Closed,03/12/2020,James,Web,Page Adding,1200966565,7565,Three,2,Customer
3330,DXC,Closed,30/11/2020,Rob,Web,Page Update,1200966565,7565,Three,2,Customer
3331,DXD,Closed,23/11/2020,James,Web,,1200966565,7565,Three,2,Customer
3332,DXE,Closed,19/11/2020,Tony,Web,Page Adding,1200966565,7565,Three,2,Customer
3333,DXF,Closed,16/11/2020,Rob,Web,General,1200966565,7565,Three,2,Customer
3334,DXG,Closed,13/11/2020,Tony,Web,Page Adding,1200966565,7565,Three,2,Customer
3335,DXH,Closed,12/11/2020,Rob,Web,Page Adding,1200966565,7565,Three,2,Customer
3336,DXI,Closed,27/10/2020,Tony,Web,Page Update,1200966565,7565,Three,2,Customer
3337,DXJ,Closed,27/10/2020,Rob,Web,Page Adding,1200966565,7565,Three,2,Customer
3338,DXK,Closed,22/10/2020,Rob,Email,Page Update,1200966565,7565,Three,2,Customer
3339,DXL,Closed,21/10/2020,Rob,Web,Page Adding,1200966565,7565,Three,2,Customer
3340,DXM,Closed,15/09/2020,Tony,Web,Page Adding,1200966565,7565,Three,2,Customer
3341,DXN,Closed,20/08/2020,Rob,Web,,1200966565,7565,Three,2,Customer
3342,DXO,Closed,19/08/2020,Rob,Web,Page Adding,1200966565,7565,Three,2,Customer
3343,DXP,Closed,18/08/2020,Rob,Web,Page Adding,1200966565,7565,Three,2,Customer
3344,DXQ,Closed,17/08/2020,Tony,Web,Page Adding,1200966565,7565,Three,2,Customer
3345,DXR,Closed,12/08/2020,Tony,Web,Page Adding,1200966565,7565,Three,2,Customer
3346,DXS,Closed,29/07/2020,Tony,Web,Page Adding,1200966565,7565,Three,2,Customer
3347,DXT,Closed,29/07/2020,Tony,Web,Page Adding,1200966565,7565,Three,2,Customer
3348,DXU,Closed,28/07/2020,Tony,Web,General,1200966565,7565,Three,2,Customer
3349,DXV,Closed,27/07/2020,Tony,Web,General,1200966565,7565,Three,2,Customer
3350,DXW,Closed,21/07/2020,Tony,Web,Page Update,1200966565,7565,Three,2,Customer
3351,DXX,Closed,20/07/2020,Tony,Web,,1200966565,7565,Three,2,Customer
3352,DXY,Closed,17/07/2020,Tony,Web,Page Adding,1200966565,7565,Three,2,Customer
3353,DXZ,Closed,13/07/2020,Tony,Web,Page Update,1200966565,7565,Three,2,Customer
3354,DYA,Closed,09/07/2020,Rob,Web,Page Adding,1200966565,7565,Three,2,Customer
3355,DYB,Closed,02/07/2020,Rob,Email,Page Update,1200966565,7565,Three,2,Customer
3356,DYC,Closed,30/06/2020,Tony,Email,General,1200966565,7565,Three,2,Customer
3357,DYD,Closed,26/06/2020,Tony,Web,Page Update,1200966565,7565,Three,2,Customer
3358,DYE,Closed,24/06/2020,Tony,Email,Page Adding,1200966565,7565,Three,2,Customer
3359,DYF,Closed,18/06/2020,Bill,Email,,1200966565,7565,Three,2,Customer
3360,DYG,Closed,18/06/2020,Bill,Email,,1200966565,7565,Three,2,Customer
3361,DYH,Closed,18/06/2020,Bill,Email,,1200966565,7565,Three,2,Customer
3362,DYI,Closed,17/06/2020,Bill,Email,,1200966565,7565,Three,2,Customer
3363,DYJ,Closed,11/06/2020,Bill,Email,,1200966565,7565,Three,2,Customer
3364,DYK,Closed,09/06/2020,Bill,Email,,1200966565,7565,Three,2,Customer
3365,DYL,Closed,29/05/2020,Bill,Email,,1200966565,7565,Three,2,Customer
3366,DYM,Closed,07/05/2020,Bill,Email,,1200966565,7565,Three,2,Customer
2530,CSI,Closed,19/10/2020,Rob,Web,Page Adding,943377245,7791,Three,6,Customer
2531,CSJ,Closed,08/10/2020,Rob,Web,Page Update,943377245,7791,Three,6,Customer
2532,CSK,Closed,10/09/2020,Rob,Web,Page Update,943377245,7791,Three,6,Customer
206,GY,Closed,01/06/2020,Bill,Email,,943214647,1918,Two,5,Customer
207,GZ,Closed,27/05/2020,Bill,Email,,943214647,1918,Two,5,Customer
208,HA,Closed,06/05/2020,Bill,Email,,943214647,1918,Two,5,Customer
2101,CBV,Closed,12/10/2020,Rob,Web,General,943214647,1918,One,5,Customer
2102,CBW,Closed,25/08/2020,Rob,Web,General,943214647,1918,One,5,Customer
2103,CBX,Closed,25/08/2020,Rob,Web,Page Update,943214647,1918,One,5,Customer
2104,CBY,Closed,24/08/2020,Rob,Web,General,943214647,1918,One,5,Customer
2105,CBZ,Closed,22/07/2020,Rob,Web,General,943214647,1918,One,5,Customer
2106,CCA,Closed,30/06/2020,Bill,Web,General,943214647,1918,One,5,Customer
2107,CCB,Closed,30/06/2020,Bill,Web,General,943214647,1918,One,5,Customer
2108,CCC,Closed,10/06/2020,Bill,Email,,943214647,1918,One,5,Customer
2109,CCD,Closed,10/06/2020,Bill,Email,,943214647,1918,One,5,Customer
2110,CCE,Closed,10/06/2020,Bill,Email,,943214647,1918,One,5,Customer
2111,CCF,Closed,08/06/2020,Bill,Email,,943214647,1918,One,5,Customer
612,WO,Closed,14/01/2021,Rob,Web,Page Adding,918925608,6554,Three,2,Customer
613,WP,Closed,12/01/2021,Rob,Web,Page Update,918925608,6554,Three,2,Customer
614,WQ,Closed,05/01/2021,Rob,Web,Page Adding,918925608,6554,Three,2,Customer
615,WR,Closed,07/12/2020,Rob,Web,,918925608,6554,Three,2,Customer
616,WS,Closed,04/12/2020,James,Web,,918925608,6554,Three,2,Customer
617,WT,Closed,10/11/2020,Rob,Web,Page Update,918925608,6554,Three,2,Customer
618,WU,Closed,26/08/2020,Rob,Web,Page Update,918925608,6554,Three,2,Customer
619,WV,Closed,15/07/2020,Rob,Web,Page Update,918925608,6554,Three,2,Customer
620,WW,Closed,08/07/2020,Rob,Web,Page Update,918925608,6554,Three,2,Customer
621,WX,Closed,05/05/2020,Bill,Email,,918925608,6554,Three,2,Customer
622,WY,Closed,30/04/2020,Bill,Email,,918925608,6554,Three,2,Customer
664,YO,Open,15/01/2021,Rob,Web,General,918925821,2882,Three,1,Customer
665,YP,Closed,04/01/2021,Rob,Web,Page Adding,918925821,2882,Three,1,Customer
666,YQ,Closed,14/12/2020,James,Web,,918925821,2882,Three,1,Customer
667,YR,Closed,23/11/2020,James,Web,,918925821,2882,Three,1,Customer
668,YS,Closed,23/11/2020,James,Web,,918925821,2882,Three,1,Customer
669,YT,Closed,18/11/2020,Rob,Email,Page Adding,918925821,2882,Three,1,Customer
670,YU,Closed,13/11/2020,Rob,Web,Page Adding,918925821,2882,Three,1,Customer
671,YV,Closed,10/11/2020,Rob,Web,General,918925821,2882,Three,1,Customer
672,YW,Closed,06/11/2020,Rob,Web,,918925821,2882,Three,1,Customer
673,YX,Closed,26/10/2020,Rob,Web,General,918925821,2882,Three,1,Customer
674,YY,Closed,12/10/2020,Rob,Web,General,918925821,2882,Three,1,Customer
675,YZ,Closed,05/10/2020,Rob,Web,General,918925821,2882,Three,1,Customer
676,ZA,Closed,30/09/2020,Rob,Web,General,918925821,2882,Three,1,Customer
677,ZB,Closed,23/09/2020,Rob,Web,Page Adding,918925821,2882,Three,1,Customer
678,ZC,Closed,03/09/2020,Rob,Web,,918925821,2882,Three,1,Customer
679,ZD,Closed,03/09/2020,Rob,Web,General,918925821,2882,Three,1,Customer
680,ZE,Closed,20/08/2020,Rob,Web,Page Update,918925821,2882,Three,1,Customer
681,ZF,Closed,03/08/2020,Rob,Web,Page Adding,918925821,2882,Three,1,Customer
682,ZG,Closed,08/07/2020,Rob,Web,Page Adding,918925821,2882,Three,1,Customer
683,ZH,Closed,06/07/2020,Rob,Web,Page Adding,918925821,2882,Three,1,Customer
684,ZI,Closed,17/06/2020,Bill,Email,,918925821,2882,Three,1,Customer
685,ZJ,Closed,08/05/2020,Bill,Email,,918925821,2882,Three,1,Customer
686,ZK,Closed,29/04/2020,Bill,Email,,918925821,2882,Three,1,Customer
687,ZL,Closed,29/04/2020,Bill,Email,,918925821,2882,Three,1,Customer
688,ZM,Closed,03/06/2020,Bill,Email,,918925821,2882,Three,1,Customer
329,LR,Closed,13/09/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
330,LS,Closed,14/09/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
331,LT,Closed,30/06/2020,Bill,Email,General,1118746484,2328,One,2,Customer
332,LU,Closed,09/11/2020,Shane,Email,,1118746484,2328,One,2,Customer
333,LV,Closed,17/11/2020,Rob,Email,Page Adding,1118746484,2328,One,2,Customer
334,LW,Closed,15/01/2021,Rob,Email,Page Update,1118746484,2328,One,2,Customer
335,LX,Closed,09/10/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
336,LY,Closed,09/11/2020,Rob,Email,,1118746484,2328,One,2,Customer
337,LZ,Closed,09/10/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
347,MJ,Closed,03/10/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
348,MK,Closed,27/09/2020,Rob,Email,General,1118746484,2328,One,2,Customer
367,ND,Closed,27/09/2020,Rob,Email,Page Adding,1118746484,2328,One,2,Customer
368,NE,Closed,11/10/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
369,NF,Closed,21/10/2020,Rob,Email,Page Adding,1118746484,2328,One,2,Customer
370,NG,Closed,12/01/2021,Rob,Email,General,1118746484,2328,One,2,Customer
371,NH,Closed,27/08/2020,Rob,Email,General,1118746484,2328,One,2,Customer
372,NI,Closed,22/11/2020,James,Web,,1118746484,2328,One,2,Customer
373,NJ,Closed,03/01/2021,James,Email,,1118746484,2328,One,2,Customer
374,NK,Closed,18/07/2020,Tony,Email,,1118746484,2328,One,2,Customer
375,NL,Closed,28/10/2020,Rob,Web,General,1118746484,2328,One,2,Customer
376,NM,Closed,10/12/2020,James,Web,,1118746484,2328,One,2,Customer
377,NN,Closed,11/12/2020,James,Email,,1118746484,2328,One,2,Customer
553,UH,Closed,04/12/2020,James,Email,,1118746484,2328,One,2,Customer
554,UI,Closed,15/07/2020,Rob,Email,Page Adding,1118746484,2328,One,2,Customer
2923,DHL,Closed,01/10/2020,Rob,Email,Page Update,1118746484,2328,One,2,Customer
2924,DHM,Closed,20/07/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
2925,DHN,Closed,08/09/2020,Rob,Email,Page Update,1118746484,2328,One,2,Customer
2926,DHO,Closed,09/07/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
2927,DHP,Closed,02/10/2020,Rob,Email,Page Adding,1118746484,2328,One,2,Customer
2928,DHQ,Closed,15/07/2020,Rob,Email,General,1118746484,2328,One,2,Customer
2929,DHR,Closed,29/12/2020,Steve,Email,,1118746484,2328,One,2,Customer
2930,DHS,Closed,02/10/2020,Rob,Email,Page Adding,1118746484,2328,One,2,Customer
2931,DHT,Closed,08/09/2020,Rob,Email,Page Update,1118746484,2328,One,2,Customer
2932,DHU,Closed,08/09/2020,Rob,Email,Page Update,1118746484,2328,One,2,Customer
2933,DHV,Closed,21/09/2020,Rob,Web,Page Adding,1118746484,2328,One,2,Customer
2934,DHW,Closed,08/09/2020,Rob,Email,Page Update,1118746484,2328,One,2,Customer
2935,DHX,Closed,17/08/2020,Rob,Email,Page Update,1118746484,2328,One,2,Customer
2936,DHY,Closed,10/08/2020,Rob,Email,Page Update,1118746484,2328,One,2,Customer
2937,DHZ,Closed,09/07/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2938,DIA,Closed,09/07/2020,Rob,Email,General,1118746484,2328,One,2,Customer
2939,DIB,Closed,09/07/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2940,DIC,Closed,09/07/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2941,DID,Closed,09/07/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2942,DIE,Closed,26/08/2020,Rob,Email,Page Adding,1118746484,2328,One,2,Customer
2943,DIF,Closed,21/10/2020,Rob,Email,Page Adding,1118746484,2328,One,2,Customer
2944,DIG,Closed,09/07/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2945,DIH,Closed,08/09/2020,Rob,Email,Page Update,1118746484,2328,One,2,Customer
2946,DII,Closed,05/08/2020,Rob,Web,Page Adding,1118746484,2328,One,2,Customer
2947,DIJ,Closed,09/07/2020,Rob,Email,General,1118746484,2328,One,2,Customer
2948,DIK,Closed,09/07/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2949,DIL,Closed,18/01/2021,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2950,DIM,Closed,22/09/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
2951,DIN,Closed,09/07/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2952,DIO,Closed,16/09/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2953,DIP,Closed,29/10/2020,Rob,Web,General,1118746484,2328,One,2,Customer
2954,DIQ,Closed,21/09/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2955,DIR,Closed,20/10/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2956,DIS,Closed,19/10/2020,Rob,Email,Page Adding,1118746484,2328,One,2,Customer
2957,DIT,Closed,20/10/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2958,DIU,Closed,09/07/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2959,DIV,Closed,20/10/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2960,DIW,Closed,01/09/2020,Rob,Web,Page Adding,1118746484,2328,One,2,Customer
2961,DIX,Closed,08/07/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2962,DIY,Closed,27/08/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
2963,DIZ,Closed,05/11/2020,Rob,Web,Page Adding,1118746484,2328,One,2,Customer
2964,DJA,Closed,01/09/2020,Rob,Web,Page Adding,1118746484,2328,One,2,Customer
2965,DJB,Closed,07/09/2020,Rob,Email,Page Update,1118746484,2328,One,2,Customer
2966,DJC,Closed,20/10/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2967,DJD,Closed,22/09/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
2968,DJE,Closed,09/07/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2969,DJF,Closed,21/10/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
2970,DJG,Closed,15/10/2020,Rob,Email,General,1118746484,2328,One,2,Customer
2971,DJH,Closed,17/09/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
2972,DJI,Closed,29/09/2020,Rob,Email,Page Update,1118746484,2328,One,2,Customer
2973,DJJ,Closed,21/07/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
2974,DJK,Closed,20/10/2020,Rob,Web,Page Adding,1118746484,2328,One,2,Customer
2975,DJL,Closed,09/07/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2976,DJM,Closed,06/10/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2977,DJN,Closed,03/08/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2978,DJO,Closed,02/10/2020,Rob,Web,Page Adding,1118746484,2328,One,2,Customer
2979,DJP,Closed,07/07/2020,Rob,Web,Page Adding,1118746484,2328,One,2,Customer
2980,DJQ,Closed,05/08/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2981,DJR,Closed,23/11/2020,James,Web,,1118746484,2328,One,2,Customer
2982,DJS,Closed,07/09/2020,Rob,Email,General,1118746484,2328,One,2,Customer
2983,DJT,Closed,09/07/2020,Rob,Email,General,1118746484,2328,One,2,Customer
2984,DJU,Closed,13/07/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
2985,DJV,Closed,22/09/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2986,DJW,Closed,07/09/2020,Rob,Email,General,1118746484,2328,One,2,Customer
2987,DJX,Closed,04/01/2021,Rob,Email,,1118746484,2328,One,2,Customer
2988,DJY,Closed,05/08/2020,Rob,Email,Page Update,1118746484,2328,One,2,Customer
2989,DJZ,Closed,11/01/2021,Rob,Email,Page Update,1118746484,2328,One,2,Customer
2990,DKA,Closed,07/09/2020,Rob,Email,Page Update,1118746484,2328,One,2,Customer
2991,DKB,Closed,29/09/2020,Rob,Email,Page Update,1118746484,2328,One,2,Customer
2992,DKC,Closed,07/09/2020,Rob,Email,General,1118746484,2328,One,2,Customer
2993,DKD,Closed,12/11/2020,Rob,Web,General,1118746484,2328,One,2,Customer
2994,DKE,Closed,22/10/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2995,DKF,Closed,06/10/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2996,DKG,Closed,13/07/2020,Rob,Email,Page Adding,1118746484,2328,One,2,Customer
2997,DKH,Closed,05/10/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
2998,DKI,Closed,26/10/2020,Rob,Web,General,1118746484,2328,One,2,Customer
2999,DKJ,Closed,01/09/2020,Rob,Web,Information Request,1118746484,2328,One,2,Customer
3000,DKK,Closed,02/11/2020,Rob,Email,General,1118746484,2328,One,2,Customer
3001,DKL,Closed,23/12/2020,Rob,Email,Page Adding,1118746484,2328,One,2,Customer
3002,DKM,Closed,21/07/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
3003,DKN,Closed,07/12/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
3004,DKO,Closed,15/01/2021,Tony,Web,General,1118746484,2328,One,2,Customer
3005,DKP,Closed,26/10/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
3006,DKQ,Closed,10/11/2020,Rob,Web,Page Adding,1118746484,2328,One,2,Customer
3007,DKR,Closed,16/10/2020,Rob,Web,General,1118746484,2328,One,2,Customer
3008,DKS,Closed,28/10/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
3009,DKT,Closed,10/08/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
3010,DKU,Closed,04/12/2020,Lee,Web,,1118746484,2328,One,2,Customer
3011,DKV,Closed,12/08/2020,Rob,Web,Page Update,1118746484,2328,One,2,Customer
3012,DKW,Closed,15/12/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
3013,DKX,Closed,19/01/2021,Rob,Email,Page Adding,1118746484,2328,One,2,Customer
3014,DKY,Closed,04/01/2021,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
3015,DKZ,Closed,12/01/2021,Rob,Email,Page Adding,1118746484,2328,One,2,Customer
3016,DLA,Closed,21/07/2020,Rob,Email,General,1118746484,2328,One,2,Customer
3017,DLB,Closed,06/10/2020,Rob,Email,Delivery Error,1118746484,2328,One,2,Customer
3018,DLC,Closed,30/06/2020,Bill,Email,Page Update,1118746484,2328,One,2,Customer
3019,DLD,Closed,30/06/2020,Bill,Email,Page Update,1118746484,2328,One,2,Customer
3020,DLE,Closed,30/06/2020,Bill,Web,General,1118746484,2328,One,2,Customer
3021,DLF,Closed,19/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3022,DLG,Closed,19/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3023,DLH,Closed,08/06/2020,Bill,Email,Page Adding,1118746484,2328,One,2,Customer
3024,DLI,Closed,08/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3025,DLJ,Closed,08/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3026,DLK,Closed,08/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3027,DLL,Closed,07/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3028,DLM,Closed,05/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3029,DLN,Closed,02/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3030,DLO,Closed,02/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3031,DLP,Closed,02/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3032,DLQ,Closed,02/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3033,DLR,Closed,02/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3034,DLS,Closed,02/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3035,DLT,Closed,02/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3036,DLU,Closed,02/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3037,DLV,Closed,02/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3038,DLW,Closed,02/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3039,DLX,Closed,02/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3040,DLY,Closed,02/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3041,DLZ,Closed,02/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3042,DMA,Closed,02/06/2020,Bill,Email,,1118746484,2328,One,2,Customer
3043,DMB,Closed,27/05/2020,Bill,Email,,1118746484,2328,One,2,Customer
